,Article
LEGIARTI000032226076,"Le contrat de vente ou de prestation de services est résolu de plein droit, sans indemnité : 1° Si le prêteur n'a pas, dans un délai de sept jours à compter de l'acceptation du contrat de crédit par l'emprunteur, informé le vendeur de l'attribution du crédit ; 2° Ou si l'emprunteur a exercé son droit de rétractation dans le délai prévu à l'article L. 312-19 . Toutefois, lorsque l'emprunteur, par une demande expresse, sollicite la livraison ou la fourniture immédiate du bien ou de la prestation de services, l'exercice du droit de rétractation du contrat de crédit n'emporte résolution de plein droit du contrat de vente ou de prestation de services que s'il intervient dans un délai de trois jours à compter de l'acceptation du contrat de crédit par l'emprunteur. Le contrat n'est pas résolu si, avant l'expiration des délais mentionnés au présent article, l'acquéreur paie comptant."
LEGIARTI000032226074,"Dans les cas de résolution du contrat de vente ou de prestations de services prévus à l'article L. 312-52 , le vendeur ou le prestataire de services rembourse, sur simple demande, toute somme que l'acheteur aurait versée d'avance sur le prix."
LEGIARTI000032226072,"Lorsque le consommateur exerce son droit de rétractation du contrat de vente ou de fourniture de prestation de services mentionné au 9° de l'article L. 311-1 , le contrat de crédit destiné à en assurer le financement est résilié de plein droit sans frais ni indemnité, à l'exception éventuellement des frais engagés pour l'ouverture du dossier de crédit."
LEGIARTI000032226070,"En cas de contestation sur l'exécution du contrat principal, le tribunal peut, jusqu'à la solution du litige, suspendre l'exécution du contrat de crédit. Celui-ci est résolu ou annulé de plein droit lorsque le contrat en vue duquel il a été conclu est lui-même judiciairement résolu ou annulé. Les dispositions du premier alinéa ne sont applicables que si le prêteur est intervenu à l'instance ou s'il a été mis en cause par le vendeur ou l'emprunteur."
LEGIARTI000032226068,"Si la résolution judiciaire ou l'annulation du contrat principal survient du fait du vendeur, celui-ci peut, à la demande du prêteur, être condamné à garantir l'emprunteur du remboursement du prêt, sans préjudice de dommages et intérêts vis-à-vis du prêteur et de l'emprunteur."
LEGIARTI000034072749,"Pour l'application de l'article L. 312-6 , le contenu et les modalités de présentation de l'exemple représentatif pour le crédit renouvelable sont précisés par décret."
LEGIARTI000032226055,La publicité portant sur les avantages de toute nature ouverts par la carte associée à un crédit renouvelable indique à l'emprunteur les modalités selon lesquelles cette carte permet de payer comptant ou à crédit et l'informe des modalités d'utilisation du crédit.
LEGIARTI000032226053,"Lorsqu'une carte de paiement émise par un établissement de crédit est associée soit à un compte de dépôt et à un crédit renouvelable, soit à un compte de paiement et à un crédit renouvelable, la publicité portant sur cette carte informe le consommateur des modalités d'utilisation du crédit."
LEGIARTI000032226049,"Lorsqu'un consommateur se voit proposer, sur le lieu de vente ou par un moyen de vente de biens ou de services à distance, un contrat de crédit renouvelable pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le prêteur ou l'intermédiaire de crédit accompagne l'offre de crédit renouvelable d'une proposition de crédit amortissable. La proposition comporte les informations permettant au consommateur de comparer de façon claire le fonctionnement, le coût et les modalités d'amortissement des deux crédits proposés selon au moins deux hypothèses de délai de remboursement. Ces informations ainsi que les conditions de leur présentation sont définies par décret. Si le consommateur opte pour le crédit amortissable qui lui est proposé, le prêteur ou l'intermédiaire de crédit lui fournit l'offre de crédit correspondant à la proposition."
LEGIARTI000032226047,Les enseignes de distribution proposant un programme comportant des avantages de toute nature et incluant un crédit proposent par ailleurs au consommateur un autre programme comportant des avantages de toute nature non liés à un crédit.
LEGIARTI000035731397,"Lors de l'ouverture d'un crédit renouvelable, l'établissement d'un contrat de crédit, sur support papier ou tout autre support durable, est obligatoire pour la conclusion du crédit initial et, dans les mêmes conditions, pour toute augmentation de ce crédit consentie ultérieurement."
LEGIARTI000032226041,"Outre les informations obligatoires prévues à l'article L. 312-28 , le contrat de crédit prévoit que chaque échéance comprend un remboursement minimal du capital emprunté, qui varie selon le montant total du crédit consenti et dont les modalités sont définies par décret. Il précise que la durée du contrat est limitée à un an renouvelable et que le prêteur devra indiquer, trois mois avant l'échéance, les conditions de reconduction du contrat. Il fixe également les modalités du remboursement, qui doit être échelonné, sauf volonté contraire du débiteur, des sommes restant dues dans le cas où le débiteur demande à ne plus bénéficier de son ouverture de crédit. Le contrat précise également que le taux débiteur qu'il mentionne est révisable et qu'il suivra les variations en plus ou en moins du taux de base que le prêteur applique aux opérations de même nature ou du taux qui figure dans les barèmes qu'il diffuse auprès du public."
LEGIARTI000032226039,"Lorsque le crédit renouvelable est assorti d'une carte ouvrant droit à des avantages de toute nature, le contrat de crédit indique à l'emprunteur les modalités selon lesquelles cette carte offre la possibilité de payer au comptant ou à crédit et l'informe des modalités d'utilisation du crédit."
LEGIARTI000032226037,"Lorsqu'une carte de crédit est associée au contrat, la mention : "" carte de crédit "" est spécifiée en caractères lisibles au recto de la carte."
LEGIARTI000032226033,"Lorsque le crédit renouvelable est assorti d'une carte ouvrant droit à des avantages de toute nature, le bénéfice de ces avantages ne peut être subordonné au paiement à crédit. Dans ce cas, le prêteur ou l'intermédiaire de crédit a l'obligation de proposer au consommateur la possibilité de payer au comptant avec cette carte. Est assimilé à une carte tout moyen de paiement dématérialisé accessoire à un crédit renouvelable."
LEGIARTI000032226031,"L'utilisation du crédit résulte de l'accord exprès du consommateur exprimé lors du paiement ou dans un délai raisonnable, à réception de l'état actualisé à l'exécution du contrat de crédit prévu à l'article L. 312-71 ."
LEGIARTI000032226029,"Lorsqu'une carte de paiement émise par un établissement de crédit est associée soit à un compte de dépôt et à un crédit renouvelable, soit à un compte de paiement et à un crédit renouvelable, l'utilisation du crédit résulte de l'accord exprès du consommateur exprimé lors du paiement avec la carte ou dans un délai raisonnable, à réception de l'état actualisé de l'exécution du contrat de crédit prévu à l'article L. 312-71 ."
LEGIARTI000035731394,"Le prêteur fournit à, par tout moyen, mensuellement et dans un délai raisonnable avant la date de paiement, un état actualisé de l'exécution du contrat de crédit renouvelable, faisant clairement référence à l'état précédent et précisant : 1° La date d'arrêté du relevé et la date du paiement ; 2° La fraction du capital disponible ; 3° Le montant de l'échéance, dont la part correspondant aux intérêts ; 4° Le taux de la période et le taux effectif global ; 5° Le cas échéant, le coût de l'assurance ; 6° La totalité des sommes exigibles ; 7° Le montant des remboursements déjà effectués depuis le dernier renouvellement, en faisant ressortir la part respective versée au titre du capital emprunté et celle versée au titre des intérêts et frais divers liés à l'opération de crédit ; 8° La possibilité pour l'emprunteur de demander à tout moment la réduction de sa réserve de crédit, la suspension de son droit à l'utiliser ou la résiliation de son contrat ; 9° Le fait qu'à tout moment l'emprunteur peut payer comptant tout ou partie du montant restant dû, sans se limiter au montant de la seule dernière échéance ; 10° L'estimation du nombre de mensualités restant dues pour parvenir au remboursement intégral du montant effectivement emprunté, établie en fonction des conditions de remboursement convenues. Ces informations figurent obligatoirement, en caractères lisibles, sur la première page du document adressé à l'emprunteur."
LEGIARTI000035731391,"En cas de révision du taux débiteur, le prêteur fournit cette information préalablement à l'emprunteur sur support papier ou tout autre support durable avant la date effective d'application du nouveau taux. L'emprunteur dispose d'un délai de trente jours après réception de cette information, pour refuser cette révision sur demande écrite adressée au prêteur. Dans ce cas, son droit à crédit prend fin et le remboursement du crédit déjà utilisé s'effectue de manière échelonnée, sauf avis contraire de sa part, aux conditions applicables avant la modification que celui-ci a refusée. Les dispositions du présent article sont reproduites dans le contrat."
LEGIARTI000032226022,"Lorsqu'en application des dispositions du premier alinéa de l'article L. 312-34 , l'emprunteur rembourse à son initiative la totalité du crédit renouvelable par anticipation, aucune indemnité de remboursement anticipé ne peut lui être réclamée."
LEGIARTI000032890821,La capitalisation des intérêts est soumise aux dispositions de l'article 1343-2  du code civil .
LEGIARTI000032226016,"Avant de proposer à l'emprunteur de reconduire le contrat, le prêteur consulte tous les ans le fichier prévu à l'article L. 751-1, dans les conditions prévues par l'arrêté mentionné à l'article L. 751-6 et, tous les trois ans, il vérifie la solvabilité de l'emprunteur dans les conditions fixées à l'article L. 312-16 ."
LEGIARTI000035731386,"Le prêteur peut réduire le montant total du crédit, suspendre le droit d'utilisation du crédit par l'emprunteur ou ne pas proposer la reconduction du contrat lorsque les éléments recueillis en application des dispositions de l'article L. 312-75 le justifient ou, à tout moment, s'il dispose d'informations démontrant une diminution de la solvabilité de l'emprunteur telle qu'elle avait pu être appréciée lors de la conclusion du contrat. Il en informe préalablement l'emprunteur sur support papier ou sur un autre support durable. A tout moment, à l'initiative du prêteur ou à la demande de l'emprunteur, le montant total du crédit peut être rétabli et la suspension du droit d'utilisation du crédit levée, après vérification de la solvabilité de l'emprunteur dans les conditions fixées à l'article L. 312-16 . Pendant la période de suspension du droit d'utilisation du crédit par l'emprunteur ou en cas de non-reconduction du contrat, l'emprunteur rembourse, aux conditions fixées par le contrat, le montant du crédit utilisé."
LEGIARTI000035731383,"Lors de la reconduction du contrat, jusqu'au moins vingt jours avant la date où celles-ci deviennent effectives, l'emprunteur peut s'opposer aux modifications proposées par le prêteur en utilisant un bordereau-réponse annexé aux informations fournies par le prêteur, sur support papier ou tout autre support durable. Les caractéristiques de ce bordereau ainsi que les mentions devant y figurer sont précisées par décret."
LEGIARTI000034072741,"En cas de refus des nouvelles conditions de taux ou de remboursement proposées lors de la reconduction du contrat, l'emprunteur rembourse aux conditions précédant les modifications proposées le montant du crédit déjà utilisé, sans pouvoir, toutefois, procéder à une nouvelle utilisation de l'ouverture de crédit."
LEGIARTI000032226008,"L'emprunteur peut demander à tout moment la réduction du montant maximal de crédit consenti, la suspension de son droit à l'utiliser ou la résiliation de son contrat. Dans ce dernier cas, il rembourse, aux conditions du contrat, le montant du crédit déjà utilisé."
LEGIARTI000035731380,"Si, pendant un an, le contrat d'ouverture de crédit ou tout moyen de paiement associé n'a fait l'objet d'aucune utilisation, le prêteur qui entend proposer la reconduction du contrat fournit à l'emprunteur, sur support papier ou tout autre support durable, à l'échéance de l'année écoulée, un document annexé aux conditions de cette reconduction. Ce document indique l'identité des parties, la nature de l'opération, le montant du crédit disponible, le taux annuel effectif global ainsi que le montant des remboursements par échéance et par fractions de crédit utilisées."
LEGIARTI000034072735,"A défaut pour l'emprunteur de retourner le document mentionné à l'article L. 312-80 , signé et daté, au plus tard vingt jours avant la date d'échéance du contrat, le prêteur suspend à cette date le droit d'utilisation du crédit par l'emprunteur. La suspension ne peut être levée qu'à la demande de l'emprunteur et après vérification de la solvabilité de ce dernier dans les conditions fixées à l'article L. 312-16 ."
LEGIARTI000032226002,"Dans le cas où l'emprunteur n'a pas demandé la levée de la suspension à l'expiration du délai d'un an suivant la date de la suspension de son contrat de crédit renouvelable, le contrat est résilié de plein droit."
LEGIARTI000032226000,"Lorsque l'ouverture de crédit est assortie de l'usage d'une carte de crédit, le prélèvement de la cotisation liée au bénéfice de ce moyen de paiement ne fait pas obstacle à la mise en œuvre des dispositions de l'article L. 312-82 ."
LEGIARTI000032225996,"Les dispositions des 1° à 3° de l'article L. 312-6 et celles des articles L. 312-16 , L. 312-17 , L. 312-27 , L. 312-38 , L. 312-39 , L. 312-44 , L. 312-48 , L. 312-49 , L. 312-54 , L. 312-55 , L. 312-56 et L. 312-85 à L. 312-91 s'appliquent aux opérations de crédit consenties sous la forme d'une autorisation de découvert remboursable dans un délai supérieur à un mois et inférieur ou égal à trois mois. Lorsque le contrat de crédit prévoit un délai de remboursement supérieur à trois mois, l'intégralité des dispositions du présent chapitre lui est applicable."
LEGIARTI000035731376,"Préalablement à la conclusion d'une opération mentionnée au premier alinéa de l'article L. 312-84 , le prêteur donne à l'emprunteur, sur support papier ou sur un autre support durable, les informations lui permettant d'appréhender clairement l'étendue de son engagement. La liste et les conditions de présentation de ces informations sont fixées par décret en Conseil d'Etat."
LEGIARTI000035731365,"Si le prêteur est disposé à consentir un crédit, il fournit sans frais, à l'emprunteur, à sa demande, sur support papier ou tout autre support durable, les informations prévues au second alinéa de l'article L. 312-87 ."
LEGIARTI000035731461,Le contrat de crédit est établi sur support papier ou sur un autre support durable. Il constitue un document distinct de tout support ou document publicitaire. La liste des informations figurant dans le contrat est fixée par décret en Conseil d'Etat.
LEGIARTI000035731457,"Pour les opérations consenties sous la forme d'une autorisation de découvert remboursable dans un délai supérieur à un mois, le prêteur est tenu d'adresser régulièrement à l'emprunteur, sur support papier ou sur un autre support durable, un relevé de compte comprenant les informations dont la liste et le contenu sont fixés par décret en Conseil d'Etat."
LEGIARTI000035731453,"En cas d'augmentation du taux débiteur ou des frais dont il est redevable, l'emprunteur est informé sur support papier ou sur un autre support durable avant que ces modifications n'entrent en vigueur. Lorsque la modification du taux débiteur résulte d'une variation du taux de référence, que le nouveau taux de référence est rendu public par des moyens appropriés et que l'information relative au nouveau taux de référence est également disponible dans les locaux du prêteur, les parties peuvent convenir dans le contrat de crédit que cette information est fournie dans le relevé de compte mentionné à l'article L. 312-88 ."
LEGIARTI000032225984,"L'emprunteur peut procéder à tout moment et sans frais à la résiliation d'une autorisation de découvert à durée indéterminée, à moins que les parties n'aient convenu d'un délai de préavis. Ce délai ne peut être supérieur à un mois."
LEGIARTI000035731450,"Si le contrat de crédit le prévoit, le prêteur a la faculté de résilier l'autorisation de découvert à durée indéterminée moyennant un préavis d'au moins deux mois fourni à l'emprunteur sur support papier ou sur un autre support durable. En cas de motif légitime, cette résiliation peut intervenir sans préavis et, dans ce cas, le prêteur en fournit les motifs à l'emprunteur, si possible avant la résiliation."
LEGIARTI000035731446,"Lorsque la convention de compte mentionnée au deuxième alinéa du I de l'article L. 312-1-1 du code monétaire et financier prévoit la possibilité d'un dépassement, cette convention mentionne le taux débiteur, les conditions applicables à ce taux, tout indice ou taux de référence qui se rapporte au taux débiteur initial, les frais applicables et, le cas échéant, les conditions dans lesquelles ces frais peuvent être modifiés. Dans tous les cas, le prêteur fournit ces informations sur support papier ou sur un autre support durable à intervalles réguliers. Dans le cas d'un dépassement significatif qui se prolonge au-delà d'un mois, le prêteur fournit cette information à l'emprunteur, sans délai, sur support papier ou sur un autre support durable, du montant du dépassement, du taux débiteur et de tous frais ou intérêts sur arriérés qui sont applicables."
LEGIARTI000032225977,"Lorsque le dépassement se prolonge au-delà de trois mois, le prêteur propose sans délai à l'emprunteur un autre type d'opération de crédit au sens du 4° de l'article L. 311-1 , dans les conditions régies par les dispositions du présent chapitre."
LEGIARTI000032225975,"Les dispositions des articles L. 312-27 , L. 312-92 et L. 312-93 s'appliquent aux opérations de crédit consenties sous la forme d'un dépassement mentionné au 11° de l'article L. 311-1 ."
LEGIARTI000047284770,Le prêteur s'assure que les contrats prévus à la présente section répondent aux exigences d'accessibilité aux personnes handicapées fixées à l'article L. 412-13.
LEGIARTI000032316060,"Les dispositions du présent chapitre s'appliquent : 1° Aux contrats de crédit, définis au 6° de l'article L. 311-1 , destinés à financer les opérations suivantes : a) Pour les immeubles à usage d'habitation ou à usage professionnel et d'habitation : -leur acquisition en propriété ou la souscription ou l'achat de parts ou actions de sociétés donnant vocation à leur attribution en propriété, y compris lorsque ces opérations visent également à permettre la réalisation de travaux de réparation, d'amélioration ou d'entretien de l'immeuble ainsi acquis ; -leur acquisition en jouissance ou la souscription ou l'achat de parts ou actions de sociétés donnant vocation à leur attribution en jouissance, y compris lorsque ces opérations visent également à permettre la réalisation de travaux de réparation, d'amélioration ou d'entretien de l'immeuble ainsi acquis ; -les dépenses relatives à leur construction ; b) L'achat de terrains destinés à la construction des immeubles mentionnés au a ci-dessus ; 2° Aux contrats de crédit accordés à un emprunteur défini au 2° de l'article L. 311-1, qui sont garantis par une hypothèque, par une autre sûreté comparable sur les biens immobiliers à usage d'habitation, ou par un droit lié à un bien immobilier à usage d'habitation. Ces contrats ainsi garantis sont notamment ceux destinés à financer, pour les immeubles à usage d'habitation ou à usage professionnel et d'habitation, les dépenses relatives à leur réparation, leur amélioration ou leur entretien ; 3° Aux contrats de crédit mentionnés au 1°, qui sont souscrits par les personnes morales de droit privé, lorsque le crédit accordé n'est pas destiné à financer une activité professionnelle, notamment celle des personnes morales qui, à titre habituel, même accessoire à une autre activité, ou en vertu de leur objet social, procurent, sous quelque forme que ce soit, des immeubles ou fractions d'immeubles, bâtis ou non, achevés ou non, collectifs ou individuels, en propriété ou en jouissance."
LEGIARTI000032316056,"Sont exclus du champ d'application du présent chapitre : 1° Les prêts consentis à des personnes morales de droit public ; 2° Ceux destinés, sous quelque forme que ce soit, à financer une activité professionnelle, notamment celle des personnes physiques ou morales qui, à titre habituel, même accessoire à une autre activité, ou en vertu de leur objet social, procurent, sous quelque forme que ce soit, des immeubles ou fractions d'immeubles, bâtis ou non, achevés ou non, collectifs ou individuels, en propriété ou en jouissance ; 3° Les opérations de crédit différé, régies par la loi n° 52-332 du 24 mars 1952 relative aux entreprises de crédit différé lorsqu'elles ne sont pas associées à un crédit d'anticipation ; 4° Les opérations mentionnées au 3° de l'article L. 511-6 du code monétaire et financier ; 5° Les opérations de crédit qui ne sont assorties d'aucun intérêt ni d'aucun frais autres que les frais couvrant les coûts liés à la garantie du crédit ; 6° Les opérations consenties sous la forme d'une autorisation de découvert remboursable dans un délai d'un mois ; 7° Les contrats qui sont l'expression d'un accord intervenu devant une juridiction ; 8° Les contrats résultant d'un plan conventionnel de redressement mentionné à l'article L. 732-1 conclu devant la commission de surendettement des particuliers ; 9° Les contrats de crédit conclus à l'occasion d'un délai de paiement accordé, sans frais, pour le règlement d'une dette existante qui ne sont pas garantis par une hypothèque ou une sûreté réelle comparable ; 10° Le prêt viager hypothécaire régi par les articles L. 315-1 et suivants"
LEGIARTI000032316052,"Tout document publicitaire mis à disposition de l'emprunteur portant sur l'une des opérations visées à l'article L. 313-1 mentionne que l'emprunteur dispose d'un délai de réflexion de dix jours, que la vente est subordonnée à l'obtention du prêt et que, si celui-ci n'est pas obtenu, le vendeur doit lui rembourser les sommes versées."
LEGIARTI000032316048,"Toute publicité faite, reçue ou perçue en France, qui, quel que soit son support, porte sur l'un des prêts mentionnés à l'article L. 313-1 , précise l'identité du prêteur ou de l'intermédiaire de crédit, la nature et l'objet du prêt. Lorsque cette publicité comporte un taux d'intérêt ou des chiffres relatifs au coût du crédit pour l'emprunteur, elle précise également de façon claire, concise et visible les informations complémentaires sur les caractéristiques du crédit, fournies, le cas échéant, à l'aide d'un exemple représentatif. Un décret en Conseil d'Etat fixe la liste et les modalités de présentation de ces informations."
LEGIARTI000032316044,"Il est interdit dans toute communication publicitaire et commerciale : 1° D'assimiler les mensualités de remboursement à des loyers ou faisant référence, pour le calcul des échéances, à des prestations sociales qui ne sont pas assurées pendant toute la durée du contrat ; 2° De faire figurer toute formulation susceptible de faire naître chez le consommateur de fausses attentes concernant la disponibilité ou le coût d'un crédit."
LEGIARTI000032432037,"Le prêteur assure la disponibilité permanente des informations générales, claires et compréhensibles, sur les contrats de crédit visés à l'article L. 313-1 . L'intermédiaire de crédit assure également la disponibilité permanente des mêmes informations. Ces dernières sont délivrées sur papier, sur tout autre support durable ou sous forme électronique. Elles sont facilement accessibles et sont fournies gratuitement à l'emprunteur. Un décret en Conseil d'Etat détermine la liste et le contenu de ces informations générales."
LEGIARTI000035731518,"Au plus tard lors de l'émission de l'offre de crédit, le prêteur ou l'intermédiaire de crédit       fournit à l'emprunteur, sur support papier ou sur un autre support durable, sous la forme d'une fiche d'information standardisée européenne, les informations personnalisées permettant à l'emprunteur de comparer les différentes offres de crédit disponibles sur le marché, d'évaluer leurs implications et de se déterminer en toute connaissance de cause sur l'opportunité de conclure un contrat de crédit. Un décret en Conseil d'Etat fixe la liste et le contenu des informations devant figurer dans cette fiche d'information standardisée européenne à fournir pour l'offre de crédit ainsi que les conditions de sa présentation. Toutes les informations complémentaires que le prêteur souhaite donner à l'emprunteur sont fournies dans un document distinct de la fiche mentionnée au présent article. L'ensemble des informations fourni en application du présent article l'est gratuitement."
LEGIARTI000045271966,"Tout document fourni à l'emprunteur, sur support papier ou tout autre support durable préalablement à la formulation de l'offre mentionnée à l'article L. 313-24 et comportant un ou plusieurs éléments chiffrés sur l'assurance mentionnée au premier alinéa de l'article L. 313-29 mentionne le coût de cette assurance. Ce coût est exprimé : 1° A l'exclusion de tout autre taux, en taux annuel effectif de l'assurance, qui permette la comparaison par l'emprunteur de ce taux avec le taux annuel effectif global du crédit ; 2° En montant total en euros dû par l'emprunteur au titre de l'assurance, sur une durée de huit ans et sur la durée totale du prêt ; 3° En euros et par période, selon la périodicité de paiement. Il est précisé si ce montant s'ajoute ou non à l'échéance de remboursement du crédit. Simultanément à la fourniture de tout document mentionné au présent article, doivent être fournies la fiche standardisée d'information mentionnée à l'article L. 313-10 ainsi que la notice mentionnée au 1° de l'article L. 313-29. Cette notice indique la possibilité pour l'emprunteur de résilier le contrat d'assurance à tout moment à compter de la signature de l'offre de prêt."
LEGIARTI000032432430,Tout intermédiaire d'assurance ou organisme assureur au sens du code des assurances proposant à l'emprunteur une assurance en couverture d'un crédit immobilier est soumis aux obligations prévues à l'article L. 313-8 .
LEGIARTI000035731505,"Une fiche standardisée d'information est fournie, lors de la première simulation, à toute personne qui se voit proposer ou qui sollicite une assurance ayant pour objet de garantir le remboursement d'un prêt mentionné au 1° de l'article L. 313-1 ou destiné à financer une opération relative à la réparation, l'amélioration ou l'entretien d'immeubles à usage d'habitation ou à usage professionnel et d'habitation, lorsque le crédit est supérieur à 75 000 euros et garanti par une hypothèque, par une autre sûreté comparable sur les biens immobiliers à usage d'habitation, ou par un droit lié à un bien immobilier à usage d'habitation. Les modalités d'application du présent alinéa sont fixées par décret en Conseil d'Etat. La fiche standardisée d'information mentionne la possibilité pour l'emprunteur de souscrire auprès de l'assureur de son choix une assurance dans les conditions fixées aux articles L. 313-29 et L. 313-30 et précise les types de garanties proposées. Le format de cette fiche ainsi que son contenu sont fixés par arrêté."
LEGIARTI000032315999,"Le prêteur ou l'intermédiaire de crédit fournit gratuitement à l'emprunteur les explications adéquates lui permettant de déterminer si le ou les contrats de crédit proposés et les éventuels services accessoires sont adaptés à ses besoins et à sa situation financière. Ces explications comprennent notamment : 1° Les informations contenues dans la fiche d'information standardisée européenne mentionnée à l'article L. 313-7 , ainsi que, pour les intermédiaires de crédit, les obligations d'information prévues en application de l' article L. 519-4-1 du code monétaire et financier ; 2° Les principales caractéristiques du ou des crédits et services accessoires proposés ; 3° Les effets spécifiques que le ou les crédits et services accessoires proposés peuvent avoir sur l'emprunteur, y compris les conséquences d'un défaut de paiement de l'emprunteur, notamment en cas de réalisation des garanties. Lorsque la garantie est constituée par un cautionnement accordé par un organisme de cautionnement professionnel, le prêteur informe l'emprunteur de la nature, des bénéficiaires et des conditions dans lesquelles celle-ci peut être actionnée et des conséquences pour l'emprunteur ; 4° S'agissant des éventuels services accessoires liés au contrat de crédit, l'indication de la possibilité ou non de résilier chaque composante séparément et les implications d'une telle procédure pour l'emprunteur."
LEGIARTI000032315994,"Sans préjudice de l'examen de solvabilité mentionné à l'article L. 313-16 , le prêteur ou l'intermédiaire de crédit met en garde gratuitement l'emprunteur lorsque, compte tenu de sa situation financière, un contrat de crédit peut induire des risques spécifiques pour lui."
LEGIARTI000032315988,"Sans préjudice des dispositions relatives aux explications adéquates et à la mise en garde mentionnées aux articles L. 313-11 et L. 313-12 , le prêteur ou l'intermédiaire peut fournir à l'emprunteur un service de conseil en matière de contrats de crédit définis à l'article L. 313-1 . Le service de conseil consiste en la fourniture à l'emprunteur de recommandations personnalisées en ce qui concerne un ou plusieurs contrats de crédit et constitue une activité distincte de l'octroi de crédit et de l'activité d'intermédiation. Cette recommandation personnalisée porte sur un ou plusieurs contrats de crédits adaptés aux besoins et à la situation financière de l'emprunteur sur la base de la prise en considération : -par les prêteurs ainsi que les intermédiaires, lorsque ceux-ci agissent en vertu d'un mandat délivré par un prêteur, d'un nombre suffisamment important de contrats de crédit de leur gamme de produits ; -par les intermédiaires, lorsque ceux-ci agissent en vertu d'un mandat délivré par un client au sens de l' article L. 519-2 du code monétaire et financier , d'un nombre suffisamment important de contrats de crédit disponibles sur le marché. Les conditions de la fourniture du service de conseil sont précisées par décret en Conseil d'Etat."
LEGIARTI000034072731,"Le conseil est qualifié d'indépendant dès lors qu'il est rendu à partir d'un nombre suffisamment important de contrats de crédit disponibles sur le marché et que sa fourniture ne donne lieu à aucune rémunération autre que celle versée, le cas échéant, par l'emprunteur. Le service de conseil indépendant ne peut en aucun cas donner lieu à une rémunération, sous quelque forme que ce soit, de la part d'un prêteur ou d'un intermédiaire de crédit. Le prêteur ou l'intermédiaire de crédit qui fournit un service de conseil indépendant peut se prévaloir de l'appellation de conseiller indépendant. Les conditions de la fourniture du service de conseil indépendant sont précisées par décret en Conseil d'Etat."
LEGIARTI000034072727,Seul le conseil qualifié d'indépendant au sens de l'article L. 313-14 peut donner lieu à rémunération. Cette rémunération émane uniquement de l'emprunteur.
LEGIARTI000032315947,"Le crédit n'est accordé à l'emprunteur que si le prêteur a pu vérifier que les obligations découlant du contrat de crédit seront vraisemblablement respectées conformément à ce qui est prévu par ce contrat. A cette fin, avant de conclure un contrat de crédit, le prêteur procède à une évaluation rigoureuse de la solvabilité de l'emprunteur. Cette évaluation prend en compte de manière appropriée les facteurs pertinents permettant d'apprécier la capacité de l'emprunteur à remplir ses obligations définies par le contrat de crédit. Le prêteur s'appuie dans ce cadre sur les informations nécessaires, suffisantes et proportionnées relatives aux revenus et dépenses de l'emprunteur ainsi que sur d'autres critères économiques et financiers. Ces informations sont recueillies par le prêteur auprès de sources internes ou externes pertinentes, y compris de l'emprunteur et comprennent notamment les informations fournies, le cas échéant, par l'intermédiaire de crédit au cours de la procédure de demande de crédit. L'emprunteur est informé par le prêteur, au stade précontractuel, de manière claire et simple, des informations nécessaires à la conduite de l'évaluation de solvabilité et les délais dans lesquels celles-ci doivent lui être fournies. Les informations sont contrôlées de façon appropriée, en se référant notamment à des documents vérifiables. Le prêteur consulte également le fichier prévu à l'article L. 751-1 , dans les conditions prévues par l'arrêté mentionné à l'article L. 751-6 . A l'issue de la vérification de la solvabilité, le prêteur informe, dans les meilleurs délais, l'emprunteur du rejet, le cas échéant, de sa demande de crédit. Lorsque cette décision est fondée sur le résultat de la consultation du fichier mentionné ci-dessus, le prêteur en informe l'emprunteur. Il lui communique ce résultat ainsi que les renseignements issus de cette consultation."
LEGIARTI000032315942,"Le prêteur ne peut ni résilier ni modifier ultérieurement le contrat de crédit conclu avec l'emprunteur au motif que les informations fournies étaient incomplètes ou qu'il a vérifié la solvabilité de manière incorrecte, sauf dans l'hypothèse où il est avéré que des informations essentielles à la conclusion du contrat ont été sciemment dissimulées ou falsifiées par l'emprunteur."
LEGIARTI000032315937,"Le prêteur réévalue la solvabilité de l'emprunteur, sur la base d'informations mises à jour, avant qu'une augmentation significative du montant total du crédit ne soit accordée après la conclusion du contrat de crédit, à moins que ce crédit supplémentaire n'ait été prévu et intégré dans l'évaluation initiale de la solvabilité."
LEGIARTI000032315905,Les modalités d'application de l'évaluation de la solvabilité de l'emprunteur sont précisées par décret en Conseil d'Etat.
LEGIARTI000032315900,"Lorsque le prêteur procède ou fait procéder à l'évaluation du bien immobilier à usage d'habitation financé à l'aide d'un prêt mentionné à l'article L. 313-1 , il veille à ce que : 1° Celle-ci soit réalisée par un expert en évaluation immobilière justifiant de sa compétence professionnelle et indépendant du processus de décision d'octroi du prêt afin de fournir une évaluation impartiale et objective ; 2° Il soit fait application de normes d'évaluation fiables, tenant compte des normes reconnues au niveau international. Un décret en Conseil d'Etat précise les conditions du présent article, et notamment celles relatives à la compétence et à l'indépendance de l'évaluateur."
LEGIARTI000032315894,L'évaluation mentionnée à l'article L. 313-20 consiste à déterminer la valeur du bien immobilier après analyse de toutes les pièces communiquées par le prêteur et qui sont utiles à la réalisation de l'évaluation selon les normes en vigueur.
